snapshot_id,result_id,market,language,country,keyword_id,keyword,provider,collected_at,rank,url,domain,title,snippet,result_type,date_hint,is_forum,is_video,is_ecommerce,is_affiliate_likely,is_publisher,language_guess
serp-us-samsung-s90f,,us,en,US,,samsung s90f oled deal,manual_csv,2026-05-31T10:25:00+00:00,1,https://www.technobezz.com/best/samsung-class-s90f-smart-tv-with-nq4-processor-drops-to-179799,technobezz.com,Samsung Class S90F Smart TV with NQ4 processor drops to $1797.99,Deal-led page from the Google Trends news item; needs price and stock verification before reuse,deal,2026,false,false,false,true,true,en
serp-us-samsung-s90f,,us,en,US,,samsung s90f oled deal,manual_csv,2026-05-31T10:25:00+00:00,2,https://www.rtings.com/tv/reviews/samsung/s90f-oled,rtings.com,Samsung S90F OLED TV Review,Lab-style review covering brightness VRR and model variants; useful for verification criteria,review,2026,false,false,false,false,true,en
serp-us-samsung-s90f,,us,en,US,,samsung s90f oled deal,manual_csv,2026-05-31T10:25:00+00:00,3,https://www.tomsguide.com/tvs/oled-tvs/samsung-s90f-oled-tv-review,tomsguide.com,I just tested the Samsung S90F OLED and it's my favorite TV of the year but it's not perfect,Hands-on review with measurements and pros/cons; useful for drawbacks and testing method,review,2026,false,false,false,true,true,en
serp-us-samsung-s90f,,us,en,US,,samsung s90f oled deal,manual_csv,2026-05-31T10:25:00+00:00,4,https://www.techradar.com/televisions/samsung-s90f-review,techradar.com,Samsung S90F 65-inch review,Review emphasizes affordable QD-OLED positioning and panel caveats,review,2026,false,false,false,true,true,en
serp-es-renta-aeat,,es,es,ES,,renta 2025 avisos aeat,manual_csv,2026-05-31T10:25:00+00:00,1,https://www.antena3.com/noticias/economia/renta-2025-asi-avisa-hacienda-has-cometido-error-declaracion_202605296a196acbcb17881aa2608bab.html,antena3.com,Renta 2025: Así te avisa Hacienda si has cometido un error en la declaración,News explainer on how Hacienda notifies users about possible declaration errors,article,2026,false,false,false,false,true,es
serp-es-renta-aeat,,es,es,ES,,renta 2025 avisos aeat,manual_csv,2026-05-31T10:25:00+00:00,2,https://www3.agenciatributaria.gob.es/Sede/Renta.html,www3.agenciatributaria.gob.es,Agencia Tributaria: Campaña de Renta 2025,Official campaign page; use as primary source for dates services and official process,official,2026,false,false,false,false,true,es
serp-es-renta-aeat,,es,es,ES,,renta 2025 avisos aeat,manual_csv,2026-05-31T10:25:00+00:00,3,https://www.xataka.com/basics/avisos-hacienda-antes-multarte-renta-2025-estos-que-recibes-hay-errores-tu-declaracion-2026/amp,xataka.com,Avisos de Hacienda antes de multarte en la Renta 2025,Step-by-step consumer explainer with warning types and correction flow,guide,2026,false,false,false,false,true,es
serp-es-renta-aeat,,es,es,ES,,renta 2025 avisos aeat,manual_csv,2026-05-31T10:25:00+00:00,4,https://www.hacienda.gob.es/es-ES/Prensa/Noticias/paginas/2026/20260408-np-aeat-campana-renta-2025.aspx,hacienda.gob.es,La presentación instantánea de declaraciones con Renta Directa estará disponible ya este año,Official ministry release for campaign start and assistance timeline,official,2026,false,false,false,false,true,es
serp-br-iphone-16,,br,pt-br,BR,,iphone 16 promocao brasil,manual_csv,2026-05-31T10:25:00+00:00,1,https://tecnoblog.net/achados/iphone-16-atinge-menor-preco-desde-marco-com-44-off-em-promocao/,tecnoblog.net,iPhone 16 atinge menor preço desde março com 44% OFF em promoção,Deal article from the Brazil RSS trend; price should be treated as time-sensitive,deal,2026,false,false,false,true,true,pt-br
serp-br-iphone-16,,br,pt-br,BR,,iphone 16 promocao brasil,manual_csv,2026-05-31T10:25:00+00:00,2,https://canaltech.com.br/smartphone/iphone-16-atinge-menor-preco-historico-na-amazon-versao-128-gb-com-preco-baixo/,canaltech.com.br,iPhone 16 atinge menor preço histórico na Amazon,Deal coverage with model storage and marketplace context,deal,2026,false,false,false,true,true,pt-br
serp-br-iphone-16,,br,pt-br,BR,,iphone 16 promocao brasil,manual_csv,2026-05-31T10:25:00+00:00,3,https://canaltech.com.br/smartphone/quanto-vale-a-pena-pagar-no-iphone-16-em-2026/,canaltech.com.br,Quanto vale a pena pagar no iPhone 16 em 2026,Buying guide angle; useful for threshold thinking and alternatives,guide,2026,false,false,false,true,true,pt-br
serp-br-iphone-16,,br,pt-br,BR,,iphone 16 promocao brasil,manual_csv,2026-05-31T10:25:00+00:00,4,https://www.apple.com/br/iphone-16/,apple.com,iPhone 16 - Apple Brasil,Official product specification page; use for confirmed features only,official,2026,false,false,true,false,true,pt-br
serp-jp-iphone-18,,jp,ja,JP,,iphone 18 rumors japan,manual_csv,2026-05-31T10:25:00+00:00,1,https://mashable.com/tech/apple-iphone-18-news-rumors-leaks,mashable.com,iPhone 18 news: The latest leaks rumored features and colors,Google Trends news item; rumor roundup that requires clear uncertainty labeling,article,2026,false,false,false,true,true,en
serp-jp-iphone-18,,jp,ja,JP,,iphone 18 rumors japan,manual_csv,2026-05-31T10:25:00+00:00,2,https://www.macrumors.com/2026/05/09/iphone-18-pro-10-new-features/,macrumors.com,iPhone 18 Pro Launching in September With These 10 New Features,Rumor roundup with feature list and launch framing,article,2026,false,false,false,true,true,en
serp-jp-iphone-18,,jp,ja,JP,,iphone 18 rumors japan,manual_csv,2026-05-31T10:25:00+00:00,3,https://9to5mac.com/2026/05/04/iphone-18-pro-six-new-features-are-coming-later-this-year/,9to5mac.com,iPhone 18 Pro: Six new features are coming later this year,Feature rumor article; useful for separating repeated claims from confirmation,article,2026,false,false,false,true,true,en
serp-jp-iphone-18,,jp,ja,JP,,iphone 18 rumors japan,manual_csv,2026-05-31T10:25:00+00:00,4,https://www.macworld.com/article/3151620/new-leak-confirms-new-iphone-18-pro-dark-cherry-light-blue-colors.html,macworld.com,New leak confirms new iPhone 18 Pro Dark Cherry Light Blue colors,Color rumor article; useful as a narrow subtopic not a confirmed feature,article,2026,false,false,false,true,true,en
serp-kr-admissions-bullying,,kr,ko,KR,,2026 대입 학폭 반영,manual_csv,2026-05-31T10:25:00+00:00,1,https://v.daum.net/v/20260531080300396,v.daum.net,'대입 의무 반영'에도 오히려 늘어난 고교 학교폭력,Google Trends news item framing why the topic resurfaced now,article,2026,false,false,false,false,true,ko
serp-kr-admissions-bullying,,kr,ko,KR,,2026 대입 학폭 반영,manual_csv,2026-05-31T10:25:00+00:00,2,https://www.edudaegu.co.kr/news/articleView.html?idxno=6130,edudaegu.co.kr,대교협 2026학년도 대학입학전형기본사항 확정 발표,Explains that school-violence measures are reflected across admissions tracks,article,2026,false,false,false,false,true,ko
serp-kr-admissions-bullying,,kr,ko,KR,,2026 대입 학폭 반영,manual_csv,2026-05-31T10:25:00+00:00,3,https://www.hankyung.com/article/2024050230941,hankyung.com,고2 대입 땐 수시 80% 학폭 의무 반영,Admissions plan context with application-year framing,article,2024,false,false,false,false,true,ko
serp-kr-admissions-bullying,,kr,ko,KR,,2026 대입 학폭 반영,manual_csv,2026-05-31T10:25:00+00:00,4,https://edu.donga.com/news/articleView.html?idxno=84852,edu.donga.com,2026 대입 전 전형에 학폭 기록 반영 조치사항별 불이익 정도는,Explainer that discusses how reflection can differ by university and measure type,guide,2025,false,false,false,false,true,ko
